id;temperatura;distancia;situacao
145;108.50;94.98;INSEGURO
146;109.69;95.00;INSEGURO
147;109.69;116.96;SEGURO
148;109.69;116.96;SEGURO
149;109.69;116.96;SEGURO
150;109.69;116.98;SEGURO
151;109.69;116.99;SEGURO
152;109.69;116.99;SEGURO
153;109.69;116.96;SEGURO
154;109.69;116.99;SEGURO
155;109.69;116.99;SEGURO
156;123.69;116.98;INSEGURO
157;123.69;116.98;INSEGURO
158;123.69;133.98;INSEGURO
159;123.69;153.95;SEGURO
160;123.69;153.95;SEGURO
161;123.69;207.94;SEGURO
162;123.69;246.96;SEGURO
163;123.69;269.94;SEGURO
164;123.69;288.97;SEGURO
165;123.69;288.93;SEGURO
166;125.00;288.93;SEGURO
167;125.00;288.93;SEGURO
168;125.00;288.97;SEGURO
169;125.00;288.97;SEGURO
170;125.00;288.97;SEGURO
171;125.00;288.93;SEGURO
172;125.00;288.97;SEGURO
173;125.00;288.97;SEGURO
174;125.00;288.97;SEGURO
175;125.00;288.93;SEGURO
176;125.00;288.93;SEGURO
177;125.00;288.93;SEGURO
178;125.00;288.93;SEGURO
179;125.00;288.97;SEGURO
180;125.00;288.97;SEGURO
181;125.00;288.97;SEGURO
182;125.00;288.97;SEGURO
183;125.00;288.97;SEGURO
184;125.00;288.97;SEGURO
185;46.00;288.93;SEGURO
186;46.00;201.96;SEGURO
187;46.00;399.98;SEGURO
188;46.00;399.98;SEGURO
189;46.00;399.98;SEGURO
190;46.00;399.98;SEGURO
191;46.00;399.98;SEGURO
192;46.00;399.98;SEGURO
193;46.00;399.94;SEGURO
194;46.00;399.98;SEGURO
195;46.00;399.94;SEGURO
196;46.00;399.94;SEGURO
197;46.00;399.98;SEGURO
198;46.00;399.94;SEGURO
199;46.00;399.98;SEGURO
200;46.00;399.98;SEGURO
201;46.00;399.98;SEGURO
202;46.00;399.98;SEGURO
203;46.00;399.94;SEGURO
204;46.00;399.94;SEGURO
205;46.00;280.98;SEGURO
206;46.00;280.98;SEGURO
207;81.69;280.98;SEGURO
208;91.87;280.98;SEGURO
209;91.87;274.96;SEGURO
210;91.87;198.95;SEGURO
211;91.87;145.96;SEGURO
212;91.87;145.96;SEGURO
213;91.87;114.95;SEGURO
214;91.87;99.98;SEGURO
215;91.87;97.97;SEGURO
216;91.87;83.98;INSEGURO
217;91.87;83.96;INSEGURO
218;91.87;83.96;INSEGURO
219;91.87;83.96;INSEGURO
220;91.87;83.96;INSEGURO
221;4.00;83.98;SEGURO
222;6.50;83.98;SEGURO
223;6.50;2.36;SEGURO
224;6.50;1.97;SEGURO
225;6.50;2.36;SEGURO
226;35.81;1.97;SEGURO
227;35.81;1.97;SEGURO
228;40.88;1.97;SEGURO
229;44.69;2.19;INSEGURO
230;44.69;1.97;INSEGURO
231;44.69;21.95;SEGURO
232;44.69;21.96;SEGURO
233;44.69;12.97;INSEGURO
234;44.69;12.97;INSEGURO
235;44.69;12.97;INSEGURO
236;44.69;12.97;INSEGURO
237;44.69;12.97;INSEGURO
238;44.69;12.97;INSEGURO
239;44.69;12.97;INSEGURO
240;44.69;12.97;INSEGURO
241;44.69;12.97;INSEGURO
242;44.69;12.97;INSEGURO
243;44.69;12.97;INSEGURO
244;44.69;12.97;INSEGURO
245;44.69;12.97;INSEGURO
246;44.69;12.97;INSEGURO
247;44.69;12.97;INSEGURO
248;44.69;12.97;INSEGURO
249;44.69;12.97;INSEGURO
250;44.69;12.97;INSEGURO
251;44.69;12.97;INSEGURO
252;44.69;12.97;INSEGURO
253;44.69;12.97;INSEGURO
254;44.69;12.97;INSEGURO
255;44.69;12.97;INSEGURO
256;44.69;12.97;INSEGURO
257;44.69;12.97;INSEGURO
258;44.69;12.97;INSEGURO
259;44.69;12.97;INSEGURO
260;44.69;12.97;INSEGURO
261;44.69;12.97;INSEGURO
262;44.69;12.97;INSEGURO
263;44.69;12.97;INSEGURO
264;44.69;12.97;INSEGURO
265;44.69;12.97;INSEGURO
266;44.69;12.97;INSEGURO
267;44.69;12.97;INSEGURO
268;44.69;12.97;INSEGURO
269;44.69;12.97;INSEGURO
270;44.69;12.97;INSEGURO
271;44.69;12.97;INSEGURO
272;44.69;12.97;INSEGURO
273;44.69;12.97;INSEGURO
274;44.69;2.36;INSEGURO
275;44.69;1.97;INSEGURO
276;44.69;54.98;SEGURO
277;44.69;29.95;SEGURO
278;44.69;29.95;SEGURO
279;44.69;29.99;SEGURO
280;44.69;29.95;SEGURO
281;44.69;288.93;SEGURO
282;44.69;288.93;SEGURO
283;44.69;288.93;SEGURO
284;44.69;288.93;SEGURO
285;44.69;288.93;SEGURO
286;44.69;288.93;SEGURO
287;44.69;288.97;SEGURO
288;44.69;288.93;SEGURO
289;44.69;288.93;SEGURO
290;44.69;288.93;SEGURO
291;44.69;288.93;SEGURO
292;44.69;288.93;SEGURO
293;44.69;288.97;SEGURO
294;57.50;288.93;SEGURO
295;57.50;288.93;SEGURO
296;57.50;288.93;SEGURO
297;74.00;288.93;SEGURO
298;74.00;288.93;SEGURO
299;74.00;288.93;SEGURO
300;74.00;288.93;SEGURO
301;91.87;288.93;SEGURO
302;91.87;288.93;SEGURO
303;91.87;288.93;SEGURO
304;91.87;288.93;SEGURO
305;91.87;288.93;SEGURO
306;91.87;288.93;SEGURO
307;91.87;288.93;SEGURO
308;91.87;288.93;SEGURO
309;107.19;288.97;SEGURO
310;107.19;288.93;SEGURO
311;125.00;288.97;SEGURO
312;125.00;288.97;SEGURO
313;125.00;288.97;SEGURO
314;125.00;288.97;SEGURO
315;125.00;288.97;SEGURO
316;125.00;288.97;SEGURO
317;125.00;288.97;SEGURO
318;125.00;221.95;SEGURO
319;125.00;192.93;SEGURO
320;125.00;142.95;INSEGURO
321;125.00;125.95;INSEGURO
322;125.00;119.97;INSEGURO
323;109.69;119.93;SEGURO
324;109.69;119.93;SEGURO
325;109.69;119.95;SEGURO
326;109.69;119.97;SEGURO
327;109.69;119.93;SEGURO
328;109.69;119.93;SEGURO
329;109.69;119.95;SEGURO
330;109.69;119.95;SEGURO
331;109.69;119.95;SEGURO
332;109.69;119.95;SEGURO
333;109.69;119.97;SEGURO
334;109.69;119.95;SEGURO
335;109.69;119.93;SEGURO
336;109.69;119.93;SEGURO
337;109.69;119.97;SEGURO
338;109.69;119.93;SEGURO
339;109.69;119.93;SEGURO
340;109.69;119.95;SEGURO
341;109.69;97.94;INSEGURO
342;109.69;97.97;INSEGURO
343;109.69;97.94;INSEGURO
344;109.69;97.97;INSEGURO
345;109.69;97.94;INSEGURO
346;109.69;97.94;INSEGURO
347;109.69;97.97;INSEGURO
348;109.69;97.97;INSEGURO
349;109.69;97.94;INSEGURO
